Unternehmen	Klassifikation	Reasoning	Quelle
REESCO Manufacturing and Sales	B	Hersteller von Brechanlagen, Förderbändern, Custom Crushing; 30.000 sqft Fertigung. Hydraulik in Anlagen und Antrieben; Eckerle EIPS/EIMQ für Power Packs oder Aggregate denkbar.	https://reescoms.com/our-facility/
Reliable Asphalt Products	C	Vertrieb/Service von Asphaltanlagen (Batch/Drum Plants, RAP, Crushers). Kein OEM von Hydraulikmaschinen; Händler. Eckerle nur über Anlagenhersteller indirekt.	https://reliableasphalt.com/about-us/ | https://reliableasphalt.com/new-equipment/crushers/
REMco (Rock Engineered Machinery Co Inc)	C	Hersteller von VSI-/VSG-Brecher (SandMax, RockMax). Antrieb typischerweise Elektromotor (50–1500 HP); keine zentrale Hydraulikpumpe für Brecherantrieb. Eckerle nur für Hilfshydraulik denkbar.	https://www.remcovsi.com/ | https://www.remcovsi.com/vsi-crushers/
REMU USA, Inc	C	Vertrieb von REMU-Sieb- und Brechlöffeln (XO2090, XO2150, EP 3150). Hydraulik vom Träger (75–130 l/min); Anbaugeräte. Kein direkter Eckerle-Pumpenkäufer.	https://remu.fi/en/ | https://www.directindustry.com/prod/remu-oy/product-162330-2540399.html
Revolution Concrete Mixers	A	OEM Trommelmischer mit optionaler variable displacement pump/motor (Fuel Saver); spezifiziert Pumpen/Motoren in Mischer-Hydraulik. Direkter Abnehmer für Eckerle EIPS/EIMQ.	https://www.revolutionmixers.com/ | https://www.revolutionmixers.com/products/
Ring-O-Matic, Inc.	A	OEM Vakuum-Exkavatoren und Pit Cleaner (275 VX–1300 VX, 500T/1000T); baut Hydrauliksysteme für Ausleger/Kippen. Direkter Abnehmer für Eckerle EIPS/EIMQ in Power Units. (Alamo Group.)	https://www.ring-o-matic.com/ | https://www.ring-o-matic.com/about/
Rock Tools Attachments, LLC	C	Hersteller von Bagger-Anbaugeräten (Drum Cutter, Rock Saw, Sieve Buckets). Hydraulik vom Träger (16–122 GPM je Modell); Anbaugeräte. Kein eigener Pumpenbedarf.	https://rocktools.com/ | https://rocktools.com/rock-grinder-drum-cutter-attachment/
Rockland Manufacturing Company	C	Hersteller von Anbaugeräten (über 200 Modelle: Thumbs, Löffel, Dozer). Hydraulik-Thumbs und -Kits; Hydraulik vom Träger. Kein typischer Direktkäufer für Eckerle-Pumpen.	https://rocklandmfg.com/attachments/ | https://rocklandmfg.com/product/stick-mounted-hydraulic/
Rockster GmbH	B	OEM mobilen Brecher (Impact, Jaw), Siebe, Stacker (Rockster North America). Hydrostatischer Antrieb, hydraulische Spalteinstellung; Eckerle EIPS/EIMQ für mobile Aggregate denkbar.	https://rockster.at/en/ | https://www.rocksternorthamerica.com/
RockZone Americas	B	Vertrieb Rockwheels, Rockcrusher, Soil Mixer, Rockscreener (Alpine/RockZone). Hydraulikantrieb in Schneid- und Mischgeräten; Eckerle EIMQ für Hochdruck-Motoren in Anbaugeräten denkbar.	https://rockzoneamericas.com/ | https://rockzoneamericas.com/products
Rotobec Inc	B	OEM Greifer-Lader und Knickarmkrane (Elite 910 T&T); eigene Hydraulikzylinder (5.000 PSI), Rotatoren (RGP, RT). Eckerle EIPS/EIMQ für Power Packs oder Pumpen in Aggregaten denkbar.	https://rotobec.com/ | https://pdf.directindustry.com/pdf/rotobec-inc/rotobec-power-attachments/61578-870027.html
Rotochopper Inc	B	OEM Holzzerkleinerer (Horizontal Grinder); Hydraulic Start Assist für Elektromodelle. Hydraulik für Anlauf und Hilfsfunktionen; Eckerle EIPS/EIMQ für kompakte Aggregate denkbar.	https://www.rotochopper.com/ | https://www.rotochopper.com/technology/hydraulic-start-assist/
Rototilt Inc.	C	OEM Tiltrotatoren für Bagger (RC5, RC9). Hydraulik vom Träger; Rototilt liefert nur Kipp-/Drehmechanik und Steuerung. Kein eigener Pumpenbedarf; Eckerle über Träger-OEM.	https://www.rototilt.com/en/products/tiltrotators/ | https://www.rototilt.com/en/products/control-systems/
RUBBLE MASTER	C	OEM mobile Brecher (RM 100GO! u. a.); Diesel-Elektro-Antrieb, nur kleine Hydraulik für Zylinder und Raupen. Geringer Pumpenbedarf; Eckerle nur für Hilfshydraulik denkbar.	https://www.rubblemaster.com/us/select/mobile-crushers | https://www.rubblemaster.com/en/solutions/rm-diesel-electric
Ruthmann Reachmaster NA LP (Time Mfg)	B	Vertrieb Ruthmann-Arbeitsbühnen (T-166A, T-243A, T-295A, Eagle, Ecoline). Hydraulik für Ausleger und Nivellierung; Eckerle EIPS/EIMQ für mobile Arbeitsbühnen denkbar.	https://www.ruthmannreachmaster.com/ | https://www.ruthmannreachmaster.com/truck-mounted-aerial-lifts/
SAKAI America, Inc.	B	OEM Vibrationswalzen und Bodenverdichter (SV544D, SV544T u. a.). Hydrostatische Bremsen und Verdichtungshydraulik; Eckerle EIPS/EIMQ für Hilfsaggregate denkbar.	https://www.sakaiamerica.com/ | https://www.sakaiamerica.com/compaction-equipment/sv544d-84-inch-smooth-drum-soil-roller-compactor/
Sandvik	D	Sandvik Mining and Rock Solutions fertigt eigene Axialkolbenpumpen und Retrofit-Kits für Bohrgeräte/LHD. Eigenes Hydraulik-Komponentengeschäft; kein typischer Eckerle-Abnehmer. Rammer gehört zu Sandvik.	https://www.mining.sandvik/en/products/parts-and-components/upgrades/rotary-drills/auxiliary-hydraulic-pumps-retrofit-kit/
SANY America	B	OEM Bagger, Radlader, Krane (SY385C, SY215C u. a.); Kawasaki-Hydraulik, Positive Flow Control. Beschaffung über Tier-1; Eckerle über Systemintegratoren.	https://www.sanyamerica.com/ | https://www.sanyamerica.com/products/construction-equipment/excavators/large/sy385c/
SBM Mineral Processing GmbH	B	OEM Brecher und Aufbereitungsanlagen (STE, RHS, REMAX). Hydraulische Spalteinstellung, Hybrid-Antriebe; Eckerle EIPS/EIMQ für mobile Anlagen oder Hilfsaggregate denkbar.	https://www.sbm-mp.at/en/ | https://www.sbm-mp.at/en/processing-technology/mineral-processing-single-machines/primary-crushers
Schwarze Industries LLC	A	OEM Kehrmaschinen (HyperVac, A4 Storm, A4000) mit eigener Hydraulikauslegung (Gutter Brooms, Kippe, Auxiliary). Spezifiziert/baut Hydrauliksysteme; direkter Abnehmer für Eckerle EIPS/EIPC.	https://schwarze.com/ | https://www.forconstructionpros.com/pavement-maintenance/sweepers/regenerative/product/10117703/schwarze-industries-inc-a4-storm-street-sweeper
