Unternehmen	Klassifikation	Reasoning	Quelle
Connect Work Tools	C	Anbieter von Abbruch- und Demontage-Anbaugeräten (Brecher, Pulverisatoren, Magnete, Greifer). Hydraulik vom Trägerfahrzeug; kein typischer Direktkäufer für Eckerle-Pumpen.	https://connectworktools.com/ | https://connectworktools.com/products/
Craig Manufacturing Ltd	B	Hersteller von Bagger-Anbaugeräten (Löffel, Grabenlöffel, Hammerschuhe, Kupplungen). Könnte Hydraulikmotoren in Spezialanbaugeräten nutzen; Eckerle EIMQ denkbar.	https://www.craigmanufacturing.com/products/excavator/specialty/ | https://www.craigattachments.com/products/excavator/
Cross Manufacturing Inc.	B	Hersteller von Hydraulikzylindern und -komponenten (Agrar, Industrie, Bau). Baut keine Pumpen selbst; könnte Eckerle-Pumpen in Power Units oder Systeme integrieren bzw. vertreiben.	https://crossmfg.com/ | https://crossmfg.com/hydraulics/cylinders
Custom Dredge Works Inc	A	Hersteller maßgefertigter Bagger (Mining, Sand). Redundante analoge Hydrauliksteuerung; schwere Hydraulik in Antrieben und Pumpen. Eckerle EIPS/EIPC/EIMQ für mobile Bagger-Aggregate passend.	https://www.customdredgeworks.com/ | https://www.customdredgeworks.com/custom-dredges/
CZM Foundation Equipment	A	OEM/Vertrieb für Gründungs- und Bohrgeräte (CZM USA Corp). Schwere Hydraulik in Bohr- und Rammgeräten. Eckerle EIPS/EIPC/EIMQ für mobile Bohr-/Rammaggregate gut geeignet.	https://czm-us.com/ | Foundation Drilling Rigs
Dalton Bearing & Hydraulics LLC	B	Vertrieb von Lagern und Fluid Power (Hydraulik). Möglicher Kanalpartner oder Abnehmer für Eckerle-Pumpen/Motoren in Ersatzteilen oder Systemen.	https://daltonbearing.com/harwal
DCM-FAZ Manufacturing Inc.	C	Konkrete Firmen-/Produktzuordnung nicht eindeutig ermittelt (evtl. Schreibvariante oder regionaler Name). Ohne Nachweis als C geführt.	Weitere Recherche empfohlen
Deister Machine Company Inc	C	Hersteller von Sieb- und Förderanlagen für Aggregate/Recycling. Antriebe und Verstellung teils mechanisch/elektrisch; Hydraulik möglich, aber nicht Kernfokus wie Eckerle.	https://www.deistermachine.com/ | https://www.deistermachine.com/products
Delta PAG	C	Eindeutige Zuordnung nicht gefunden (möglicherweise Bezug zu Delta Power oder regionaler Bezeichner). Ohne Produktnachweis als C geführt.	Weitere Recherche empfohlen
Delta Power Company	B	Hersteller von Hydraulik-Power-Units (HPU); elektrisch und diesel, 250–4800 psi. Verwendet Pumpen in Aggregaten; Eckerle EIPS/EIPC als Pumpenlieferant denkbar.	https://delta-power.com/ | https://deltahydraulics.com/
Deltrol Fluid Products	B	Hersteller von Hydraulikventilen, Manifolds und Steuerungskomponenten. Kein Pumpenhersteller; möglicher Systempartner oder Kunde für komplette Aggregate mit Eckerle-Pumpen.	https://deltrolfluid.com/ | https://deltrolfluid.com/about
Derrick Corporation	C	Hersteller von Hochfrequenz-Siebmaschinen für Bergbau/Mineralien. Fokus auf Siebtechnik; keine typische Anwendung für Eckerle Innenzahnradpumpen/-motoren.	https://derrick.com/ | https://derrick.com/traditional-dry-machines/
DESCH USA LP	C	DESCH Antriebstechnik: Kupplungen, Getriebe, Antriebssysteme. Kein Hydraulikpumpen-OEM; eher mechanische Antriebe. Kein typischer Eckerle-Abnehmer.	https://www.desch.com/en/home.html | https://www.desch.com/en/north-america/contact.html
DEVELON	B	OEM für Bagger und kompakte Baumaschinen (ehem. Doosan). Hydraulik zentral (z.B. DX225LC-7 mit 2×56 gpm Pumpen). Großer OEM; Beschaffung typischerweise über Tier-1 – Eckerle über Systemintegratoren.	https://na.develon-ce.com/en/construction-equipment/crawler-excavators | https://na.develon-ce.com/en/construction-equipment/crawler-excavators/dx225lc-7-crawler-excavator
Diamond Mowers	A	OEM für Forstmulcher (Skid-Steer, Bagger). Hydraulikmotoren für Scheibenantrieb (Zahnrad- und Kolbenmotoren). EIMQ als leiser Hydromotor gut geeignet; typische Eckerle-Zielgruppe.	https://diamondmowers.com/attachments/skid-steer/sk-disc-mulcher-pro-x/ | https://blog.diamondmowers.com/skid-steer-forestry-disc-mulcher-hydraulic-motor-overview
Diamond Z	B	Hersteller von Tub Grindern und Horizontal-Grindern für Recycling. Hydraulik in Siebmaschinen und Antrieben (z.B. 7000E mit Hydraulikmotor). Eckerle EIMQ für Antriebe denkbar.	https://www.diamondz.com/ | https://www.diamondz.com/tub-grinders-index
Digga Machinery Attachments	B	Hersteller von Hydraulik-Bohrantrieben für Bagger und Skid-Steer (Auger Drives). Verwendet Hydraulikmotoren (z.B. Eaton); Eckerle EIMQ als Alternative denkbar.	https://digga.com/excavator-attachments.html | https://www.digga.co.nz/auger-drive-units
Dipperfox USA / Abra Equipment Supply	B	Vertrieb von Dipperfox-Anbaugeräten (Stubbenfräsen, Cone Splitter). Hydraulik vom Träger; Anbaugeräte mit Hydraulikmotoren. EIMQ für Motoren in Anbaugeräten denkbar.	https://abraequipmentsupply.com/dipperfox/ | https://abraequipmentsupply.com/dipperfox-sc850-stump-grinder-attachment/
Ditch Witch	A	OEM für Grabenfräsen, Mini-Skid-Steer, Verlegetechnik. Hydraulik für Fahrt und Fräskette (z.B. CX-Series mit hydrostatischem Antrieb). Eckerle EIPS/EIMQ für mobile Hydraulik passend.	https://www.ditchwitch.com/trenchers/ | https://www.ditchwitch.com/
Doosan Bobcat North America Inc.	B	Großer OEM für Kompaktlader, Minibagger, Anbaugeräte. Hydraulik zentral (R-Series High-Flow). Beschaffung typischerweise über Tier-1; Eckerle über Systemintegratoren oder als Zulieferer.	https://www.bobcat.com/na/en/equipment/loaders/r-series/powerful-hydraulic-performance
Dougherty Forestry Mfg.	B	Hersteller von Forstmulchern und -anbaugeräten (Mastodon, Turbo Saw). Hydraulik in Mulchern und Antrieben. Eckerle EIMQ für Forst/Mobilhydraulik denkbar.	https://www.dfmattachments.com/ | https://www.forconstructionpros.com/equipment/attachments/brush-cutters/press-release/21283127/dougherty-forestry-manufacturing-ltd-co-dougherty-forestry-mfg-announces-new-branding-for-forestry-mulcher-attachments
Dragflow USA	B	Hersteller hydraulischer Tauchpumpen für Bagger und Dredging. Eigenes Pumpenprogramm; könnte Eckerle für Antriebsseite (Power Packs) oder komplementäre Anwendungen nutzen.	https://dragflowusa.com/ | https://dragflowusa.com/hydraulic-pumps.html
Drillers' Choice	C	Ein-Stop-Anbieter für Gründungsbohr-Equipment (Verkauf, Miete, Herstellervertretung). Kein Maschinen-OEM; kein direkter Eckerle-Pumpenkäufer; indirekt über von ihnen vertriebene OEMs.	https://drillerschoice.com/ | https://drillerschoice.com/company/
DRKhorse | SAS Forks	B	Schwerlast-Anbaugeräte (Abbruchscheren, Pulverisatoren, Greifer, Magnete). Hydraulikantrieb in Anbaugeräten; Eckerle EIMQ für Motoren in Anbaugeräten denkbar.	https://www.recyclingproductnews.com/article/41350/sas-forks-expands-into-heavy-duty-attachments-with-drkhorse-tools
DSC Dredge LLC	A	Hersteller von Baggeranlagen (Shark, Barracuda, Marlin, Moray, Sharkuda). Hydraulik in Antrieben und Pumpen. Eckerle EIPS/EIPC/EIMQ für mobile Bagger-Aggregate gut geeignet.	https://dscdredge.com/ | https://dscdredge.com/products/
DURAPAC	B	Hersteller von Handpumpen, Power Units und Hydraulikaggregaten (P-Serie bis 2800 bar). Verwendet/kauft Pumpen für Aggregate; Eckerle EIPS als Zulieferer denkbar.	https://durapac.com/ | https://durapac.com/product_categories/pumps-power-units/
DY Concrete Pumps Inc.	B	Betonpumpen-Hersteller. Hydraulik für Förderung und Verstellung. Eckerle EIPS/EIPC für Pumpen- oder Hilfskreise in Betonpumpen denkbar.	Kontext CONEXPO / Betonpumpen
Dynapac	B	OEM für Verdichtungstechnik (Vibrationswalzen, etc.). Hydraulik in Fahrt und Vibration (z.B. CX9 mit Axialkolbenpumpen, Zahnradpumpe Lenkung). Bei Groß-OEM oft Tier-1; Eckerle über Zulieferer.	https://dynapac.com/en/products/compaction/dynapac-cx9 | https://www.dynapacparts.com/
Eagle Crusher Company Inc	B	OEM für Brecher- und Siebanlagen (Portable, Static). Hydraulik in Rosteinstellung, Überlastschutz, Förderung. Eckerle EIPS/EIPC für mobile/stationäre Aggregate sinnvoll.	https://eaglecrusher.com/ | https://eaglecrusher.com/products/
Eagle Hydraulic Inc.	B	Kanadischer Hersteller von Hydraulikzylindern, -motoren, -pumpen und Power Units. Könnte Eckerle-Pumpen/Motoren als Ergänzung oder in eigenen Aggregaten nutzen bzw. vertreiben.	https://www.eagle-hydraulic.com/ | https://www.eagle-hydraulic.com/products.html
Eagle Iron Works	C	Hersteller von Wasch- und Klassieranlagen für Sand/Aggregate (Falcon, Hawk, Log Washers). Pumpen für Prozesse; eher Prozess-/Wasserpumpen als mobile Innenzahnradpumpen wie Eckerle.	https://www.eagleironworks.com/products | https://www.eagleironworks.com/products/falcon-sand-plants
Ecoverse	C	Anbieter von Aufbereitungsanlagen für Landschaftspflege/Recycling (Shredder, Siebe, Trommeln). Hydraulik in Antrieben möglich; kein klarer Fokus auf Eckerle-Pumpen/Motoren.	https://www.ecoverse.net/ | https://www.ecoverse.net/applications/land-clearing/
Eijkelkamp North America	B	Bohr- und CPT-Technik, Feldmesstechnik (Royal Eijkelkamp). Bohrgeräte mit Hydraulik. Eckerle EIPS/EIMQ für mobile Bohr-Aggregate denkbar.	https://www.royaleijkelkamp.com/en-us/ | https://www.royaleijkelkamp.com/en-us/products/drilling/
Elgin Sweeper Co	A	OEM für Straßenkehmaschinen (Pelican, Broom Bear, Crosswind). Hydraulik für Bürsten und Förderer. EIMQ/EIPQ für leise Drehantriebe gut geeignet; typische Eckerle-Zielgruppe.	https://www.elginsweeper.com/products | https://www.elginsweeper.com/products/mechanical
Elite Equipment-Rebel Hydrovac	B	Hersteller von Hydrovac-Fahrzeugen (Rebel Hurricane/Renegade). Hydraulik für Vakuum, Wasser, Ausleger. Eckerle EIPS/EIMQ für Hilfsaggregate denkbar.	https://www.rebelvac.ca/ | https://www.rebelvac.ca/systems/overview
Ellicott Dredge Enterprises	A	OEM für Bagger (Dragon Cutterhead, Swinging Ladder). Schwere Hydraulik in Antrieben und Pumpen. Eckerle EIPS/EIPC/EIMQ für Bagger-Aggregate gut geeignet.	https://www.dredge.com/ | https://www.dredge.com/equipment/
Elliott Equipment Company	B	Hersteller von Boomtruck-Kranen und Arbeitsbühnen. Hydraulik für Ausleger, Outrigger, Fahrt. Eckerle EIPS/EIMQ für mobile Kran-Hydraulik denkbar.	https://elliottequip.com/ | https://elliottequip.com/boomtruck-cranes/
Energreen America	A	Right-of-Way-Mäher und Vegetationstechnik (RoboPLUS etc.). Hydrostatische Selbstfahrer. Eckerle EIPS/EIMQ für mobile Hydraulik in Mähern passend.	https://energreenamerica.com/
engcon North America	B	Hersteller von Tiltrotatoren und Schnellwechselsystemen für Bagger. Hydraulik vom Träger; engcon liefert Steuerung/Mechanik. Könnte Hydraulikmotoren in Spezialanwendungen nutzen; Eckerle EIMQ denkbar.	https://engcon.com/en.html | https://engcon.com/en_us/tiltrotators.html
Enteco North America	A	Hersteller von Bohr- und Rammgeräten (E4080, E6050 Hybrid etc.). Schwere Hydraulik in allen Geräteklassen. Eckerle EIPS/EIPC/EIMQ für mobile Bohr-/Rammaggregate gut geeignet.	https://www.entecodrill.com/ | https://www.entecodrill.com/product/e4080-tr/
