Unternehmen	Klassifikation	Reasoning	Quelle
Exodus Global LLC	B	Hersteller und Vertrieb schwerer Anbaugeräte (ShearCore, Connect Work Tools, RockZone Americas, OilQuick). Hydraulikmotoren in Scheren, Pulverisatoren, Felsrädern. Eckerle EIMQ für Motoren in Anbaugeräten denkbar; OEM/Integrator.	https://exodusglobal.com/overview/ | https://exodusglobal.com/about/ | https://www.heavyequipmentguide.ca/article/39898/exodus-global-acquires-rockwheel-americas
FAE	A	OEM für hydraulisch angetriebene Mulcher, Steinbrecher und Planer (Bagger, Skid-Steer, Traktor). Explizit „hydraulic-driven heads“; typische Anwendung für Eckerle EIMQ/EIPQ als Hydromotor. Direkter OEM-Käufer mit klarer Passung.	https://www.fae-group.com/en_US/products/land-clearing/hydraulic-driven-heads | https://www.fae-group.com/en_US/products/land-clearing/hydraulic-driven-heads/forestry-mulchers-for-excavators
Fayat Group	B	Dachkonzern mit Fayat Road Equipment (BOMAG, Dynapac, Marini, ERMONT, SAE). Kein direkter Pumpenkäufer; Beschaffung bei den OEM-Tochtergesellschaften. Eckerle-Ziel sind BOMAG, Dynapac, Marini, ERMONT etc.; Fayat als Einheit B für strategische Ansprache.	https://www.bomag.com/ww-en/about/fayat-group/ | https://roadequipment.fayat.com/en
Fecon LLC	A	OEM für Forstmulcher (Bull Hog, Deck Mulcher, Stone Crusher) für Skid-Steer, Bagger, Traktor. Schweres Hydrauliksystem in Mulchern (z. B. 30–105 GPM); Eckerle EIMQ/EIPQ für Hydromotoren gut geeignet. Direkter OEM-Käufer mit klarer Passung.	https://fecon.com/ | https://fecon.com/bullhog/ | https://fecon.com/product/deck-mulcher/
Fiori Americas - Bell Trucks America Inc	B	Fiori (Italien) baut Kipper und Betonmischer; Bell Trucks America ist US-Vertrieb. Fiori-Maschinen mit Hydraulik für Kippen/Mischen; Eckerle könnte Fiori oder deren Zulieferer beliefern. Vertrieb ist kein Pumpenkäufer; OEM Fiori ist relevant.	https://belltrucksamerica.com/fiori/ | https://belltrucksamerica.com/fiori/fiori-db-560-t-mixer/
Flodraulic / North American Hydraulics / EBI Motion Controls	B	Flodraulic Group: Vertrieb von Hydraulik- und Pneumatikkomponenten; NAHI mit Pumpen, Motoren, Power Units. Kein Pumpenhersteller; möglicher Vertriebspartner für Eckerle oder Abnehmer für Aggregate (Power Units mit Eckerle-Pumpen).	https://flodraulic.com/company/north-american-hydraulics/ | https://flodraulic.com/suppliers/ebi/ | https://nahi.com/products/
FluiDyne Fluid Power	B	Anbieter von Hydraulikpumpen, -motoren und -ventilen (Kolben-, Zahnrad-, Flügelpumpen; Racine, etc.). Vertrieb/Rebuild; könnte Eckerle als Ergänzung oder für spezifische Anwendungen nutzen bzw. vertreiben. Kanalpartner oder Systemlieferant.	https://fluidynefp.com/Products.aspx | https://fluidynefp.com/Literature.aspx
FORCE America Inc.	B	Vertrieb von Hydraulikkomponenten und -systemen (Pumpen, Motoren, Power Units, Ventile, Schläuche) für Agrar, Bau, Forst, Bergbau. Möglicher Vertriebskanal für Eckerle oder Abnehmer für Pumpen in Power Units.	https://forceamerica.com/
GEHL	B	OEM für Kompaktlader, Raupenlader, Teleskoplader (Skid-Steer, Track Loader, Telehandler). Hydraulik zentral (z. B. 10–41 GPM, 2500–3300 PSI). Großer OEM; Beschaffung typischerweise über Tier-1 – Eckerle über Systemintegratoren oder als Zulieferer.	https://www.gehl.com/en-US/our-machines | https://www.skidsteerspecifications.com/gehl/7810E/
Gencor/Blaw-Knox	B	Gencor hat 2020 die Blaw-Knox-Fertigergeschäft von Volvo CE übernommen. Blaw-Knox fertigt Asphaltfertiger (Raupen- und Radfertiger) mit Hydraulik. Eckerle EIPS/EIMQ für mobile Straßenbaumaschinen passend; Beschaffung oft über Tier-1.	https://www.gencor.com/gencor-to-acquire-blaw-know-paver-business-from-volvo-ce/ | https://www.blawknox.com/products/asphalt-pavers/
Geoprobe Systems®	B	Hersteller von Direktdruck-Bohrgeräten und -werkzeugen (Direct Push) für Boden-/Grundwasserprobenahme. Hydraulik in Rammen und HPT-Systemen; kompakte mobile Aggregate. Eckerle EIPS/EIMQ für Bohr-Aggregate denkbar.	https://geoprobe.com/ | https://geoprobe.com/tooling/soil-sampling-systems-direct-push
GINCOR Werx	C	Hersteller von Kipperaufbauten, Live-Bottom-Anhängern, Equipment-Anhängern, Heavy-Haul. Hydraulik für Kippen und Verstellung; Fokus auf Anhänger/ Aufbauten, nicht auf Maschinen mit Pumpenaggregaten. Möglicher Randabnehmer für kleine Pumpen.	https://gincor.com/products/equipment-trailers/ | https://gincor.com/applications/construction/
Goldhofer AG	B	OEM für Schwerlast- und Modultransporter (THP, FT-Serie, Mega PST). Hydraulik-Power-Packs für Lenkung, Heben, Verbreiterung; hydrostatischer Antrieb beim Mega PST. Eckerle EIPS für kompakte Pumpen in Power Packs denkbar.	https://www.goldhofer.com/en/northamerica/dual-lane-module/thp-dc | https://www.goldhofer.com/en/heavyduty-modules/towed/ft-series
GOMACO Corporation	A	OEM für Beton-Slipform-Fertigern (Commander III, GP-4000, GP4). Schwere Hydraulik (Mehrstufenpumpen, Vibratoren, Schnecken, Raupen, Verstellung). Expliziter Bedarf an Pumpen und Motoren; Eckerle EIPS/EIPC/EIMQ gut passend. Direkter OEM-Käufer.	https://www.gomaco.com/resources/commander.html | https://www.gomaco.com/resources/gp4000specs.html
Gradall	B	OEM für Teleskop-Bagger und Teleskoplader (JLG/Gradall). Hochdruck-Lastabhängige Hydraulik; Anbaugeräte. Großer OEM; Beschaffung typischerweise über Tier-1 – Eckerle über Systemintegratoren.	https://gradall.com/ | https://gradall.com/library/literature/excavator-attachments.pdf
Green Climber N.A. & Raymo USA	B	US-Vertrieb für ferngesteuerte Hangmäher (Green Climber: hydraulisch; Raymo: teils elektrisch). OEM der Maschinen nutzt Hydraulikpumpen/-motoren; Eckerle könnte OEM oder Integrator beliefern. Vertrieb selbst kein Pumpenkäufer.	https://www.greenclimberna.com/ | https://pwx2025.smallworldlabs.com/?page_id=2424&boothId=boothId%3D442931
GS Global Resources	B	Anbieter von Hydraulik- und Steuerungslösungen für Bergbau und Bau (Pumpen, Motoren, Power Units, Ventile, Kühler, Zylinder). Systemintegratoren/Engineering; könnte Eckerle-Pumpen in Aggregate oder als Lieferant nutzen.	https://gsglobalresources.com/markets/construction/ | https://gsglobalresources.com/markets/mining/
HD Hyundai Construction Equipment / Hyundai North America	B	Großer OEM für Bagger, Radlader, Dozer (HX-Serie, HW-Serie). Hydraulik zentral (z. B. HX350FC mit 2×297.5 l/min Hauptpumpen). Beschaffung typischerweise über Tier-1 – Eckerle über Systemintegratoren oder Zulieferer.	https://na.hd-hyundaice.com/ | https://www.hd-hyundaice.com/en/products/view?productsSeq=622
Heavy Motions Inc	B	Hersteller/Vertrieb von Hydraulikkomponenten (Zahnradpumpen, PTO, Zylinder, Power Units, Ventile) für LKW, Bau, Agrar, Öl/Gas. Führt u. a. Kipperpumpen (C-Series); könnte Eckerle als Quelle für Innenzahnradpumpen nutzen oder als Vertriebspartner.	https://heavymotions.com/about/ | https://heavymotions.com/product-category/gear-pump-motors/
