Unternehmen	Klassifikation	Reasoning	Quelle
Aggregates Equipment Inc. (AEI)	C	Hersteller von Sieb- und Aufbereitungsanlagen für Aggregate. Hydraulik in Antrieben/Verstellung möglich, aber kein klarer Fokus auf Innenzahnradpumpen/-motoren wie Eckerle.	https://aeiscreens.com/screening-equipment-applications/aggregate-screening-machines/
Allen Engineering Corporation	A	OEM für Betonfertiger (Riding Trowels, Screeds, Power Buggies, Mixer). Verwendet u.a. Bosch Rexroth-Hydraulik. Eckerle EIPS/EIMQ als Alternative oder Zweitquelle für Pumpen/Motoren gut vorstellbar.	https://www.alleneng.com/ | https://www.alleneng.com/product/riding-trowels
Altec Industries Inc.	B	OEM für Arbeitsbühnen, Digger Derricks, Krane. B-Series Derricks mit variabler Kolbenpumpe; große OEM, Beschaffung oft über Tier-1. Eckerle könnte über Systemintegratoren oder als Zulieferer in Frage kommen.	https://altec.com/products/digger-derricks | https://www.altec.com/products/digger-derricks/dr41b
Avant Tecno USA	A	OEM für Kompaktlader und über 200 Anbaugeräte (hydrostatisch/hydraulisch). Kompakte mobile Hydraulik; EIPS (Pumpen) und EIMQ/EIPQ (Motoren) passen zu Flurförderzeugen/kompakten Maschinen.	https://www.avanttecno.com/us/attachments
AYA Inc.	C	Vertrieb/Rebuild von Hydraulikhämmern und Anbaugeräten (Cat, Epiroc, Kemroc). Kein Maschinen-OEM; Hydraulik kommt von Hammer-Herstellern. Kein direkter Eckerle-Pumpenkäufer.	https://ayainc.net/products/ | https://ayainc.net/about/
Bandit Industries Inc.	A	OEM für Holzzerkleinerer und Stubbenfräsen. Stubbenfräsen mit hydrostatischem Antrieb (z.B. Parker-Hydraulikmotor). EIMQ als leiser Hydromotor für Drehantriebe geeignet; Agrar/Forst/Mobilhydraulik.	https://banditchippers.com/ | https://banditchippers.com/stump-grinders/
BAUER Equipment America	A	Vertrieb und Service von BAUER-Fundamenttechnik (Bohrgeräte, Rammgeräte). Schwere Hydraulik in Bohr- und Rammgeräten. Eckerle EIPS/EIPC/EIMQ für mobile Aggregate und Antriebe passend.	https://www.bauer-equipment.com/en/our-products | https://www.bauer-equipment.com/en/products/bauer_drilling_rigs
Bay Shore Systems Inc.	B	Hersteller von Bohrgeräten (truck- und baggermontiert). Hydraulik in Antrieben und Verstellung. Eckerle-Pumpen/Motoren für mobile Bohr-Aggregate denkbar.	https://www.bayshoresystems.com/
Bay-Lynx Manufacturing	B	Hersteller von Volumenmischern, Steinschleudern und Trägerverformungsmaschinen. Hydraulik in Schleudern und Mischerantrieben. EIPS/EIMQ für kompakte mobile Hydraulik anwendbar.	https://bay-lynx.com/ | https://bay-lynx.com/about/
Bear Iron Works	D	Hersteller von Grizzly-Sieben, Bettungskästen, Waschwannen, Tracking Pads. Stahlbau/Fabrication; keine erkennbare Integration von Hydraulikpumpen/-motoren. Kein Eckerle-Zielkunde.	https://www.bearironworks.com/ | https://www.beariron.com/collections/bedding-boxes
Bedrock Machinery	C	Konkrete Firmeninformationen und Produkte nicht eindeutig ermittelt. Name und CONEXPO-Kontext deuten auf Baumaschinen hin. Ohne Produktdetail keine sichere Eckerle-Passung.	Kontext CONEXPO; weitere Recherche empfohlen
Bell Trucks America Inc.	C	Vertrieb von Bell-Kippern und Schwerlastfahrzeugen in USA/Mexiko. Bell ist OEM der Fahrzeuge; Hydraulik wird von Bell bzw. Tier-1 beschafft. Eckerle-Käufer wären Bell oder Zulieferer, nicht US-Vertrieb.	https://belltrucksamerica.com/ | https://belltrucksamerica.com/bell-adts/
Bergkamp Inc.	A	OEM für Slurry-/Microsurfacing-Fertigern und Materialtransporter. M310CS mit „PTO-driven gear pumps“; explizit Zahnradpumpen in mobilen Straßenbaumaschinen. Eckerle EIPS gut passend.	https://www.bergkampinc.com/products | https://www.equipmentworld.com/roadbuilding/article/14966686/bergkamps-m310cs-paver-features-tier-4-pto-driven-gear-pumps
Berminghammer Foundation Equipment	B	Hersteller von Rammgeräten und Bagger-Führungssystemen (EML). Hydraulik in Ramm- und Führungssystemen. Eckerle EIPS/EIPC für Power Units und Steuerung denkbar.	https://www.berminghammer.com/Piling.html | https://www.berminghammer.com/EML45.html
Bid-Well (A Terex Brand)	B	Terex-Marke für Brücken- und Flächenfertiger (Betón). Hydraulik für Verstellung und Antrieb. Eckerle EIPC/EIPS für Industrie-/mobile Hydraulik anwendbar; bei Terex oft Tier-1.	https://www.terex.com/bid-well/en | https://www.terex.com/bid-well/en/products/bridge-pavers
Binder+Co AG	D	Hersteller von Sieb- und Sortiertechnik (Bulk, Recycling). Fokus auf Vibrationssiebe, sensorgestützte Sortierung; keine typische Anwendung für Eckerle Innenzahnradpumpen/-motoren.	https://www.binder-co.com/en/ | https://www.binder-co.com/en/products/screening/screening-machines-overview/
Blaw-Knox	B	OEM für Asphaltfertiger (Raupen- und Radfertiger). Hydraulik für Fahrt, Verstellung, Förderschnecken. Eckerle EIPS/EIMQ für mobile Straßenbaumaschinen passend; Beschaffung oft über Systemintegratoren.	https://www.blawknox.com/ | https://www.blawknox.com/products/asphalt-pavers/
BOMAG Americas	B	OEM für Verdichtungstechnik (Asphalt, Boden). Hydrostatischer Fahrantrieb, Vibrationshydraulik. Eckerle EIPS/EIMQ für Hilfs- und Antriebskreise denkbar; bei Groß-OEM oft Tier-1 – Systemintegrator ist dann Käufer.	https://www.bomag.com/us-en/machinery/categories/asphalt-rollers/ | https://bomagamericas.com/
Brandt Industries Inc.	B	Agrar- und Industrieausrüstung (Transport-Auger, Mover-Systeme mit Hydraulik). Hydraulik für Lenkung, Winden, Hebezyinder. Eckerle EIPS/EIMQ für Agrar-/Industrieanwendungen passend.	https://www.brandt.ca/Divisions/Agricultural-Products/Products/Transport-Augers | https://www.brandt.ca/Divisions/Agricultural-Products/Products/Movers/Transport-Auger-Mover-Systems
Broce Manufacturing Co. Inc.	A	OEM für Bau- und Straßenkehmaschinen (Broce 350 Series). Hydraulik für Bürste und Fahrt (u.a. Danfoss-Hydraulikmotor). EIMQ als leiser Hydromotor für Kehrmaschinen gut geeignet.	https://brocebroom.com/ | https://brocebroom.com/broce-350-series-road-construction-sweeper/
Brokk Inc.	B	Hersteller ferngesteuerter Demontageroboter. SmartPower-Hydraulik; hohe Drücke und Durchflüsse. Eckerle könnte in Teilkreisen oder als Alternative vorkommen; Hauptsysteme oft spezifisch ausgelegt.	https://www.brokk.com/us/product/brokk-900/ | https://www.directindustry.com/prod/brokk/product-12137-2712739.html
BRON	A	OEM für Drainage- und Utility-Pflüge, Mulcher, Raupenfräsen, Vibrationsripper. Selbstfahrende Maschinen mit schwerer Hydraulik. Eckerle EIPS/EIMQ für mobile Antriebe und Aggregate passend.	https://www.rwfbron.com/products/ | https://www.bronrwf.com/product/bron-vr4000
Brutus Truck Bodies / Next Hydraulics S.R.L.	B	Hersteller von Kipper-Aufbauten und -Inserten mit Hydraulik (Pumpe, Zylinder). Kleine Hydraulikaggregate (z.B. 1.5 kW Motor). Eckerle EIPS für kompakte Pumpen in Kipperaggregaten denkbar.	https://www.brutusbodies.com/okanagan-truck-bodies-dump-insert/steel.php
Butti S.R.L.	C	Hersteller von Krananbaugeräten (Betónkübel, Gabeln, Mülleimer). Hydraulik meist am Kran; Butti liefert mechanische/Anbaugeräte. Kein typischer Direktkäufer für Eckerle-Pumpen.	https://www.butti.it/buckets-for-construction/?lang=en | https://www.leavittcranes.com/new-equipment/by-brand/butti-crane-attachments
Böhringer Group / Böhringer Inc	C	Hersteller von Brecher- und Siebanlagen (Impact, Jaw, Mineral Sizers). Antriebe und Verstellung teils hydraulisch. Möglicher Pumpenbedarf, aber nicht Kernfokus Eckerle (mobile/leichte Industrie).	https://bohringerinc.com/ | https://bohringerinc.com/jaw-crushers/
Can American Stone Spreader Manufacturing and Sales	B	Hersteller von Steinschleudern (Soil King), Kipperaufbauten, Hydrauliksystemen. Eigenes Engineering für Hydraulik; Eckerle EIPS/EIMQ für Schleuder- und Kipperaggregate passend.	https://www.stonespreader.com/ | https://www.stonespreader.com/Products
Canica (Terex)	C	Terex-Marke für Vertical Shaft Impactors (VSI) in Brechanlagen. Hydraulik für Einstellung/Wartung; kein Schwerpunkt mobile/Stapler-ähnliche Anwendung. Möglicher, aber nicht prioritärer Eckerle-Abnehmer.	https://www.terex.com/canica
Canimex Inc	B	Systemintegrator für Antriebs- und Powertrain-Lösungen (Ketten, Getriebe, Elektroantriebe) für Bau, Agrar, Bergbau. Könnte Eckerle-Pumpen/Motoren in komplette Systeme integrieren; Käuferrolle: Integrator.	https://www.groupecanimex.com/ | https://www.groupecanimex.com/en/mechanical-and-electrical/major-product-lines/chains-1
Canycom USA Inc	A	Vertrieb kompakter Raupentransporter (Chikusui Canycom). Hydrostatischer Antrieb, Kipphydraulik. Kompakte mobile Hydraulik; Eckerle EIPS (Pumpen) und EIMQ (Motoren) passen zu Flurförderzeugen/kompakten Trägern.	https://literature.puertoricosupplier.com/106/PD107387.pdf | https://canycomsales.com/products/s160-ride-on-rubber-track-carrier
Casagrande USA Inc / Casagrande Group	A	OEM für Gründungs- und Bohrtechnik (Pfahlgeräte, Crawler-Bohrer, Schlitzwandgeräte). Schwere Hydraulik in allen Geräteklassen. Eckerle EIPS/EIPC/EIMQ für mobile Bohr- und Rammaggregate gut geeignet.	https://casagrandegroup.com/ | https://casagrandegroup.com/equipment/fd70/
CASE Construction Equipment	B	Großer OEM (CNH) für Bagger, Lader, Radlader. Hydraulik zentral. Beschaffung typischerweise über Tier-1/Systemintegratoren; Eckerle-Käufer wären Aggregate-/Hydrauliklieferanten. Trotzdem relevante Zielbranche.	https://www.casece.com/en-us/northamerica/products/excavators | https://www.casece.com/en-us/northamerica/operator-reference/e-series-excavators
Caterpillar (Engines/Perkins/Inc.)	D	Caterpillar fertigt und vertreibt eigene Hydraulikpumpen und -motoren für Cat-Maschinen und OEM Solutions. Kein Abnehmer für Eckerle Innenzahnradpumpen/-motoren; eigener Pumpen-/Motorbereich.	https://www.cat.com/en_US/products/new/parts/hydraulics/pumps-motors.html | https://www.cat.com/en_GB/by-industry/oem-solutions/components.html
CDE (CDE Global)	C	Hersteller von Wasch- und Klassieranlagen für Sand und Aggregate (M-Series, EvoWash, Siebe). Pumpen für Aufbereitung/Slurry; eher Prozesspumpen als mobile Innenzahnradpumpen. Mögliche Randanwendung.	https://www.cdegroup.com/us/products/washing-classification | https://www.cdegroup.com/us/products/screening
