Unternehmen	Klassifikation	Reasoning	Quelle
Junttan USA Inc	A	Hersteller von Hydraulik-Rammgeräten (Impact Hammers, Power Packs, Rigs). Explizit Hydraulik-Power-Packs; Eckerle EIPS/EIPC als robuste Innenzahnradpumpen gut passend. Direkter OEM-Käufer.	https://junttan.com/ | https://junttan.com/products/power-packs | https://junttan.com/usa
K-Tec / Ashland	B	K.A. Group (K-Tec Earthmovers + Ashland Industries): Erdbewegungs-Scraper (Direct Mount, ADT). Hydraulik für Kippen/Schaber; Eckerle EIPS/EIMQ für mobile Hydraulik denkbar.	https://ktec.com/products/dm/ | https://www.constructionequipment.com/home/news/10757054/k-tec-earthmovers-ashland-industries-merge-for-scraper-success
Kaiser Premier	B	OEM für Hydrovac-Fahrzeuge (CV-Serie), Wasserrecycler, mobile Bagger. Hydraulik in Vakuum/Boom; Eckerle EIPS/EIMQ für Hilfsaggregate und Power Packs denkbar.	https://www.kaiserpremier.com/ | https://www.kaiserpremier.com/products/cv-series-hydrovac-trucks
Kanga Loaders	B	OEM für Kompaktlader (2–8 Series, gas/diesel, Raupen/Rad). Volle Hilfs-Hydraulik für Anbaugeräte; Eckerle EIPS/EIMQ für kompakte mobile Hydraulik passend.	https://kangaloaderusa.com/ | https://kangaloaderusa.com/product-category/new-loaders/
KATO	B	Japanischer OEM für Hydraulikkrane und -bagger (KATO Works). Doppelte Kolbenpumpen, Hydraulikmotoren in Kranen; großer OEM, Beschaffung oft Tier-1. Eckerle über Systemintegratoren.	https://www.kato-works.co.jp/eng/products/shovel/list.html | https://www.global-ce.com/brand/kato/
KCP Concrete Pumps Ltd.	B	OEM für Betonpumpen (Boom-, Line-, Stationärpumpen); nutzt u. a. Rexroth-Hydraulikpumpen. Eckerle EIPS/EIPC als Alternative oder Zweitquelle für Pumpenkreise denkbar.	https://www.kcppumps.ca/ | https://www.kcppump.com/en
Keestrack America	B	OEM für mobile Brecher- und Siebanlagen (B-, R-, C-, K-Serie). Hydraulik für Einstellung, Klappen, Antriebe; Eckerle EIPS/EIMQ für mobile Aggregate sinnvoll.	https://keestrack.com/en/products | https://www.keestrack.com/
Kinshofer North America	B	OEM für Bagger-Anbaugeräte (Tiltrotatoren, Brecher, Greifer, Kupplungen). Hydraulik vom Träger; Kinshofer liefert Mechanik/Steuerung; EIMQ in Spezialanwendungen denkbar.	https://kinshofer.com/us/ | https://www.kinshofer.com/us/excavator-applications
Kioti Tractor Div Daedong-USA Inc	B	OEM Kompakttraktoren (Kioti/Daedong): CK-, DK-, RX-Serie; Hydraulik für Loader und Heckkraftheber. Eckerle EIPS/EIMQ für Agrar/Mobilhydraulik passend; Beschaffung oft über Tier-1.	https://daedong-kioti.com/product | https://www.daedong-kioti.com/
KOBELCO Construction Machinery USA	B	Großer OEM für Hydraulikbagger (SK-Serie, SR-Serie, Mini). Hydraulikantrieb u. a. für Kühlung und Arbeitshydraulik; Beschaffung typischerweise über Tier-1. Eckerle über Systemintegratoren.	https://kobelco-usa.com/excavators | https://kobelco-usa.com/media/afe9dc6b-eb20-4dbf-87f1-3a5f432ca56b/yvfiYQ/Brochures/Conventional%20Excavators/KOBELCO%20SK850LC-10%20NA.pdf
