Unternehmen	Klassifikation	Reasoning	Quelle
Superior Broom Manufacturing Inc	A	OEM Kehrmaschinen (SM74, DT74) mit eigener Hydraulikauslegung (Load-compensated Kolbenpumpe, Hydrostatik). Spezifiziert/baut Pumpensysteme; direkter Abnehmer für Eckerle EIPS/EIPC.	https://www.superiorbroom.com/ | https://www.superiorbroom.com/products/dt74j
Superior Industries	B	OEM Förderer, Brecher, Portable Plants (Jaw, Cone, HSI). Hydraulik in Brechern und Antrieben; Eckerle EIPS/EIMQ für mobile Anlagen oder Power Packs denkbar.	https://superior-ind.com/products/conveying-equipment/ | https://superior-ind.com/products/crushing-equipment/
Swaploader USA Ltd (An EFCO Company)	A	Hersteller Hydraulik-Hooklift-Systeme (SwapLoader); baut/spezifiziert Power Units für Doppelzylinder, Niederdruck-Hydraulik. Direkter Abnehmer für Eckerle EIPS.	https://swaploader.com/ | https://swaploader.com/about-us/
Sweeprite Mfg Inc	A	OEM Kehrmaschinen (S2, S3) mit eigener Hydraulikauslegung (Zahnradpumpen, elektrohydraulische Steuerung, hydrostatische Antriebe). Spezifiziert/baut Pumpensysteme; direkter Abnehmer für Eckerle EIPS/EIPC.	https://sweepritemfginc.com/ | https://sweepritemfginc.com/sweeprite-s2/
Trackless Vehicles Ltd	B	OEM Kommunalfahrzeuge (MT6, MT7). Sauer Danfoss Hydrostatik, Hydraulik-Schnellkupplungen für Anbaugeräte; Eckerle EIPS/EIMQ für Hilfsaggregate denkbar.	https://tracklessvehicles.com/products/mt7/ | https://tracklessvehicles.com/wp-content/uploads/Trackless-MT6-2008-2016.pdf
TRUVAC	A	OEM Hydro-Exkavatoren (APXX, HXX, FLXX, Paradigm, TRXX); baut Hydraulik für Wasserpumpe (3.000 psi), Ausleger, Vakuum. Direkter Abnehmer für Eckerle EIPS/EIMQ in Power Packs. (Vactor-Marke.)	https://www.truvac.com/ | https://www.truvac.com/equipment/trxx
TT Technologies Inc	A	Hersteller grabenlose Bohrgeräte (GRUNDOMAT, GRUNDOPIT); GRUNDOPIT hydraulisch (Thrust/Pullback). Baut/spezifiziert Power Packs; direkter Abnehmer für Eckerle EIPS/EIPC.	https://www.tttechnologies.com/ | https://www.tttechnologies.com/products/grundopit-pit-launched-directional-boring-system/
TYMCO Inc	B	OEM Kehrmaschinen (435, 500x, 600). Hydraulik für Hopper-Kippe und Dump; Eckerle EIPS/EIPC für Hilfspumpen denkbar. Regenerative Air für Besen.	https://www.tymco.com/ | https://tymco.com/sweepers/model-500x
Vacall	A	OEM Hydro-Exkavatoren (AllExcavate, AllExcavate2); integriert Hydraulik-Wasserpumpe (bis 24,5 GPM, 3.000 psi), variable Drehzahl. Direkter Abnehmer für Eckerle EIPS/EIMQ im Pumpenantrieb.	https://www.vacall.com/products/hydro-excavators.php | https://vacall.com/library/literature/allexcavate_hydro-excavator.pdf
Vactor Manufacturing	A	OEM Kanalreiniger und Hydro-Exkavatoren (2100i, iMPACT, TRUVAC, Ramjet); baut Hydraulik für Wasserpumpe, Vakuum, Ausleger. Direkter Abnehmer für Eckerle EIPS/EIMQ in Power Packs.	https://www.vactor.com/ | https://www.vactor.com/equipment
Vermeer Corporation	B	Großer OEM Grabenfräsen und Horizontalbohrer (T855, D24 u. a.). Hydrostatik, Hydraulikmotoren; Beschaffung typischerweise über Tier-1. Eckerle über Systemintegratoren.	https://www.vermeer.com/em/equipment | https://www.vermeer.com/getmedia/267f7e9a-cc4c-4cf1-a481-16753aa6eb7a/t855-pipeline-trencher-spec-sheet?ext=.pdf
Virnig Manufacturing Inc	C	Hersteller Skid-Steer-Anbaugeräte (Schnee, Eimer, Greifer, Mulcher, Kehrbesen). Hydraulik vom Träger; Virnig liefert Motoren/Schläuche. Kein eigener Pumpenbedarf.	https://www.virnigmfg.com/products/ | https://virnigmfg.com/product/v60-blade
VMI Dredges & Amphibious Excavators	A	OEM Swamp Hoe und Dredges (MD-815); baut Hydraulik für Pontons, Cutter, Slurry-Pumpen (hydraulischer Antrieb). Direkter Abnehmer für Eckerle EIMQ in Pumpenantrieben.	https://vmidredges.com/ | https://www.swamphoe.com/
Volvo Construction Equipment North America LLC	B	Großer OEM Bagger, Radlader, Verdichter. Original-Hydraulikpumpen über Händlernetz; Beschaffung typischerweise über Tier-1. Eckerle über Systemintegratoren.	https://www.volvoce.com/united-states/en-us/parts/repair-and-reman-parts/hydraulics/
Wacker Neuson	B	OEM Kompaktgeräte (Bagger, Radlader, Dumper, Teleskoplader, Rüttler). Hydraulik zentral; OEM-Teile über Händler. Eckerle über Tier-1/Systemintegratoren.	https://www.wackerneuson.com/us/ | https://www.wackerneuson.com/us/products
